id,document,abstract,date,type,authors,sectors,implementer,url
86646,Supply and demand of livestock data in Sub-Saharan Africa : evidence from a stakeholder survey,"In this issue: message from the Director, ACS; implementation of the 2008 SNA; preparation of ASSD and Statcom-Africa (third phase): statistical capacity building and workshops; statistical development, selected areas; featured NSO; and news and events.",1-Jun-11,Brief,"['Pica-Ciamarra', 'Ugo', 'Baker', 'Derek']","['Agricultural Extension', 'Crops and Crop Management Systems', 'Agricultural Research', 'Access to Markets', 'Corporate Law']",Agriculture & Environmental Serv (AES),http://documents.worldbank.org/curated/en/673461468209040920/pdf/866460WP0PAP0S00Box385182B00PUBLIC0.pdf
83067,Model : standard notice - competition with public disclosure for national contracting of civil works : Modelo : edital-padrão - concorrência pública com divulgação nacional (NCB) para contratação de obras civis,"This paper on the standard notice - competition with public disclosure for national contracting of civil works is aimed at competitions of national scope and dissemination projects funded in whole or in part by the World Bank. The present model is designed to observe the achievement of public bidding under the modality described in the Loan or Grant Agreements, as Competition with National Public Disclosure (National Competitive Bidding). Under the guidelines applicable to the Bank, these competitions will participate as bidders arising from any countries who are defined as eligible. Contracted for Civil Works, Major (greater than $ 5 million) or Small (less than £ 5million), this Notice is a document of character reference, which aims to instruct the executing agencies to become more agile and efficient at the bidding process. In this model, the footnotes contain instructions for completing the Notice and shall be removed from the final version. Sections I through II should remain unchanged. All adjustments and specifications of each bid will be introduced in Annexes.",1-Apr-11,Working Paper,[],"['Knowledge for Development', 'Innovation', 'Agricultural Extension', 'E-Business']",Econ. Policy & Poverty Sector (SASEP),http://documents.worldbank.org/curated/en/785481468344032625/pdf/830670WP0NCB0O0ion0379884B00PUBLIC0.pdf
93395,Solomon Islands Rural Development Program,"Solomon Islands, after a period of civil conflict known as the 'tensions,' from 1998 to 2003, has begun to move from post-conflict reconstruction to longer-term development. However, raising rural living standards remains a formidable challenge. Roughly 85 percent of Solomon Islanders live in rural areas, relying on subsistence, smallholder agriculture. Agriculture remains the backbone of the rural economy. As such, the Rural Development Program (RDP) is designed to respond to priorities identified by villagers to improve agricultural extension services, and rural infrastructure. The RDP has been prepared as the first phase of a long term program to support the Solomon Islands national rural development goals. With funding from AusAID, the European Union and the World Bank, the RDP, which is implemented by the Ministry of Development Planning and Aid Coordination and the Ministry of Agriculture and Livestock in collaboration with the Provincial Governments, aims to raise the living standards of rural households. The RDP has three main components. These deal with rural infrastructure, agricultural support services, and assistance to rural businesses.",6-Sep-10,Brief,"['Grosclaude', 'Marianne']","['Climate Change and Agriculture', 'Post Conflict Reintegration', 'Rural Settlements', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Livestock and Animal Husbandry', 'Post Conflict Reconstruction', 'Food Security', 'Agricultural Growth and Rural Development']","Urban, Rural & Soc Dev - GP (GSURR)",http://documents.worldbank.org/curated/en/801081468106152757/pdf/933950BRI00PUB0ds0Box385381B0090610.pdf
95226,"Improving agricultural extension services, and economic and social infrastructure in rural Solomon Islands","This Results Profile focuses on Rural Development Program in Solomon Islands. Roughly 85 percent of Solomon Islanders live in rural areas, relying on subsistence, smallholder agriculture. Agriculture remained the backbone of the rural economy. The Rural Development Program was designed to respond to the priorities identified by villagers to improve agricultural extension services, and rural infrastructure. It increased the access of rural households to quality agricultural services and developed the rural businesses through the provision of financing, related training and technical assistance.",9-Jun-10,Brief,[],"['Climate Change and Agriculture', 'Post Conflict Reintegration', 'Rural Settlements', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Livestock and Animal Husbandry', 'Post Conflict Reconstruction', 'Food Security', 'Agricultural Growth and Rural Development']","Land, Geospatial (GSULN)",http://documents.worldbank.org/curated/en/725841468180882301/pdf/95226-2010Jun9-P089297-SolomonIslands-Improving-agricultural-extension-Box-385461B-PUBLIC.pdf
69363,Afghanistan - Supporting female saffron producers in value addition activities in Herat Province (Vol. 3) : Saffron value chain forum for women in Herat,"This report describes a project to improve the lives of female saffron producers in Herat Province, Afghanistan. Women have a significant role in saffron production, amounting to 80 percent of the total work, with most of the work in harvesting, processing and packaging, but a very limited role in marketing and price negotiation with traders; men usually take over during the marketing stage of the spice. Given the role of women in saffron production and its potential for empowering women through engagement in economic activities, the Danish Committee for Aid to Afghan Refugees (DACAAR) supported the establishment of a female saffron association in 2006 in Pashtun Zarghun district (Herat province) with initial membership of 70 women. Currently, the association has 175 members and has distributed 3,000 kg of saffron corm to 157 women up to the end of 2010. The pilot project performed the following activities: conducted a workshop to establish a Saffron Stakeholder Forum in Herat; selected activities to promote economic empowerment of women through improving womens position in the saffron value chain; conducted a workshop with saffron stakeholders to document lessons learned (Annex C); developed an Operational Manual and illustrative posters; and documented final lessons learned (Annex B). This report also outlines the achievements in terms of output and activities and the result of subprojects implemented by two women saffron producers'sassociations.",15-Apr-10,Working Paper,[],"['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Fertilizers', 'Educational Sciences', 'Gender and Development', 'Food Security']","Agriculture,Irrigation & Nat Res (SASDA)",http://documents.worldbank.org/curated/en/216141467994718654/pdf/693630ESW0P1170omments0170Feb02011.pdf
56582,"Gender and governance in agricultural extension services : insights from India, Ghana, and Ethiopia","The gender and governance in rural services insights from India, Ghana, and Ethiopia report aims to generate policy-relevant knowledge on strategies for improving agricultural service delivery, with a focus on providing more equitable access to these services, especially for women. The project has been implemented in India, Ghana, and Ethiopia. These countries were chosen to capture variation in important macro-factors, especially the level of economic development; various aspects of governance, such as political system and party system; the role of women in society; and strategies adopted to promote gender equity. The project focused on agricultural extension as an example of a critical agricultural service. In India, the main problem is the lack of overall capacity resulting from a past policy of not hiring agricultural extension providers. The study indicates that access to agricultural extension is low in Ghana, despite the fact that an extension agent-to-farmer ratio is comparatively high. Agricultural extension is a high for the Ethiopia government priority, but coverage of extension services across regions varies widely, and extension agents have limited discretion to adapt technology packages to the context of individual communities. The gender gap in access to extension can also be improved.",1-Mar-10,Brief,"['Madhvani', 'Sonia', 'Pehu', 'Eija']","['Climate Change and Agriculture', 'Rural Settlements', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Gender and Development', 'Food Security', 'Agricultural Growth and Rural Development', 'Inequality']",Agriculture & Environmental Serv (AES),http://documents.worldbank.org/curated/en/692491468268162942/pdf/565820BRI0Box31ARD1GandG1Note531web.pdf
56587,"Strengthening agricultural extension and advisory systems : procedures for assessing, transforming, and evaluating extension systems","The purpose of this paper is to provide information on how to transform and strengthen pluralistic agricultural extension and advisory systems in moving toward the broader goal of increasing farm income and improving rural livelihoods. The focus of this book is primarily on the technical knowledge, management skills, and information services that small-scale farm households will need to improve their livelihoods in the rapidly changing global economy. In addition, the book will also include information on how extension should help all types of farmers in dealing with escalating natural resource problems, including climate change. The primary focus of this paper will be a comparative analysis of different extension strategies, organizational models, institutional innovations, and resource constraints and how an extension system might be transformed and strengthened through specific policy and organizational changes as well as needed investments. This paper is organized into nine chapters. These chapters follow an institution building strategy used by many donors and governments as they seek to improve their extension system. The diagram in Figure one outlines these basic planning, implementation, and evaluation procedures that will be considered. The sections outlined below will provide a brief overview of the different chapters included in this paper.",1-Jan-10,Working Paper,"['Rajalahti', 'Riikka', 'Swanson', 'Burton E.']","['Climate Change and Agriculture', 'Rural Settlements', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Labor Markets', 'Food Security', 'Agricultural Growth and Rural Development']",Agriculture - GP (GFADR),http://documents.worldbank.org/curated/en/253941467999128698/pdf/56587-PUB-ARABIC-Box393188B-PUBLIC-PUBDATE-4-17-15-EPI-32946-Strengthening-Agricultural-Extension-Arabic.pdf
50941,Status of projects in execution (SOPE) - FY09 : Africa region - Eastern Africa,"The Status of Projects in Execution (SOPE) report for FY09 provides information on all International Bank and Rural Development (IBRD)/International Development Association (IDA) projects that were active on June 30, 2009. The report is intended to bridge the gap in information available to the public between the project appraisal document, disclosed after the Bank approves a project, and the implementation completion report, disclosed after the project closes. In addition to the project progress description, the FY09 SOPE report contains project level comparisons of disbursement estimates and actual disbursements, and a table showing the loan/credit/grant amount and disbursements to date for all active projects.",2-Oct-09,Annual Report,[],"['Climate Change and Agriculture', 'Forests and Forestry', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Agricultural Research', 'Forestry', 'Public Sector Administrative & Civil\n            Service Reform', 'Nutrition', 'Coastal and Marine Resources', 'Food Security', 'Energy and Natural Resources', 'Democratic Government', 'Public Sector Administrative and Civil\n            Service Reform', 'De Facto Governments']",Delivery Management (OPCDM),http://documents.worldbank.org/curated/en/216311468027640288/pdf/509410AR0Easte10Box342014B01PUBLIC1.pdf
50998,Status of projects in execution (SOPE) - FY09 : South Asia region - Bhutan,"The Status of Projects in Execution (SOPE) report for FY09 provides information on all International Bank and Rural Development (IBRD)/International Development Association (IDA) projects that were active on June 30, 2009. The report is intended to bridge the gap in information available to the public between the project appraisal document, disclosed after the Bank approves a project, and the implementation completion report, disclosed after the project closes. In addition to the project progress description, the FY09 SOPE report contains project level comparisons of disbursement estimates and actual disbursements, and a table showing the loan/credit/grant amount and disbursements to date for all active projects.",2-Oct-09,Annual Report,[],"['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Information Technology', 'Public Sector Administrative & Civil\n            Service Reform', 'Roads & Highways', 'Inter-Urban Roads and Passenger Transport', 'HIV AIDS', 'Cholera', 'Communicable Diseases', 'Leprosy', 'Roads and Highways Performance', 'Democratic Government', 'Public Sector Administrative and Civil\n            Service Reform', 'De Facto Governments']",Delivery Management (OPCDM),http://documents.worldbank.org/curated/en/644411468200951833/pdf/509980AR0Bhutan0SOPE0Box342014B01PUBLIC1.pdf
80142,Guide for the preparation of terms of reference to the oriented consultancy services for evaluation of government programs and projects : Guia para Ia elaboracion de terminos de referencia orientados a Ia contratacion de servicios de consultoria para Ia evaluacion de programas y proyectos gubernamentales,"This guide aims at strengthening and institutionalizing monitoring and evaluation system in Latin America and the Caribbean. This material helps supporting the training of public officials, contains guidelines and standards to develop terms of reference for the hiring of specialized consulting services for external evaluation of governmental programs and projects.",1-Jan-09,Publication,"['Medina Giopp', 'Alejandro']","['Agricultural Extension', 'Crops and Crop Management Systems', 'Rural Portfolio Improvement', 'Water Resources Assessment', 'E-Business']",Public Sector (LCSPS),http://documents.worldbank.org/curated/en/242471468335458560/pdf/801420PUB0Span00Box379796B00PUBLIC0.pdf
49670,Status of projects in execution (SOPE) - FY08 : Africa region - Uganda,"The Status of Projects in Execution (SOPE) report for FY08 provides information on all International Bank and Rural Development (IBRD)/International Development Association (IDA) projects that were active on June 30, 2008. The report is intended to bridge the gap in information available to the public between the project appraisal document, disclosed after the Bank approves a project, and the implementation completion report, disclosed after the project closes. In addition to the project progress description, the FY08 SOPE report contains project level comparisons of disbursement estimates and actual disbursements, and a table showing the loan/credit/grant amount and disbursements to date for all active projects.",11-Oct-08,Annual Report,[],"['Climate Change and Agriculture', 'Private Sector Economics', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Disability', 'Public Sector Administrative & Civil\n            Service Reform', 'Services & Transfers to Poor', 'Private Sector Development Law', 'Food Security', 'Economic Assistance', 'Access of Poor to Social Services', 'Marketing', 'Democratic Government', 'Public Sector Administrative and Civil\n            Service Reform', 'De Facto Governments']",Delivery Management (OPCDM),http://documents.worldbank.org/curated/en/612421468109134723/pdf/496700AR0SOPE110Box341968B01PUBLIC1.pdf
83068,Model : default notice - competition with public disclosure national acquisition of goods : Aquisicao de bens,"This paper on the standard notice - competition with public disclosure for national contracting of civil works is aimed at competitions of national scope and dissemination projects funded in whole or in part by the World Bank. This model edict is intended to conduct public bidding under the modality described in the Loan or Grant Agreements, as Public Competition with National Dissemination (National Competitive Bidding). Under the Guidelines applicable to the Bank bidders can participate in these competitions once it came from any country defined as eligible. This Notice is a document of character reference, which aims to instruct the executing agencies to become more agile and efficient at the bidding process. In this Modelo2 Sections I, II and III will remain unaffected. All adjustments and specifications of each bid will be made to the annexes.",1-Jul-08,Working Paper,[],"['Airports and Air Services', 'E-Business', 'Agricultural Extension', 'Education for the Knowledge Economy']",Econ. Policy & Poverty Sector (SASEP),http://documents.worldbank.org/curated/en/651491468164057469/pdf/830680WP0NCB0B0Box0379884B00PUBLIC0.pdf
42902,Comunicacion strategica para el desarrollo agrícola : el caso del Programa Nacional de Tecnología y Formación Tecnica Agropecuaria,"The study Comunicacion strategica para el desarrollo agrícola : el caso del Programa Nacional de Tecnología y Formacion Tecnica Agropecuaria en Nicaragua, presents a new way to understand inter-personal and inter-institutional relations among participants in rural and agricutural development. This, within the framework of a modern vision, dynamic and participative approach for strategic communication applied to agricultural development within the context of rural extension, which is one of the poorest sectors in the region. The support for communication for development, in this case agricultural development, generally involves four dimensions : a) the internal communication, which consists of achieving internal consensus on goals and messages before they are communicated to the external audience; b) the corporate communication, which explains what it is, and what it does, this communication builds trust and allow the institution to promote dialog and strengthening its mandate; c) the so called "" advocacy "" or communication for gaining strategic support consist of developing programs oriented to highlight the profile of themes to achieved the correct decision on an action or decision; and d) support for development operations entitles communication programs that support operations through risk analysis and mitigation measures.",1-Jan-08,Publication,"['Bruni', 'Michele', 'Calabrese', 'Daniele', 'Santucci', 'Fabio Maria']","['Agricultural Knowledge and Information Systems', 'Rural Information & Communications Technologies', 'Agricultural Economics', 'Rural Development Knowledge &\n            Information Systems', 'Agricultural Extension']",Development Communications (EXTCD),http://documents.worldbank.org/curated/en/304371468061464880/pdf/429020SPANISH0101OFFICIAL0USE0ONLY1.pdf
53808,Colombia - Lessons from the competitive allocation of research funding in the agricultural sector,"Since 2004, Colombia's ministry of agriculture and rural development has implemented a strategy of competitive funding or public call for proposals for the allocation of public funds for Research, Technological Development and Innovation (RTDI) programs and projects targeting the agricultural sector. This strategy considers science and technology as core elements of agricultural sector policy, and the allocation of funds is governed by principles of cost-effectiveness and transparency. The fact that Latin American (LAC) countries, especially Colombia, are commonly endowed with a high concentrations of biodiversity (habitats and species) compared to other regions of the world, generates significant opportunities for RTDI. These projects offer a systematic way of making use of biodiversity in life sciences aimed at solving problems (e.g. a new disease-resistant variety of a traditional crop) or generating commercial returns (e.g. a native fruit that can be domesticated, harvested and industrialized). Moreover, proposals were typically submitted by research entities (universities and research centers) that were often disconnected from the needs of the productive sector and which often generated results scarcely relevant to producers.",1-Dec-07,Brief,"['Cristancho', 'Edwin', 'Ekanayake', 'Indira Janaki', 'Janssen', 'Willem']","['Climate Change and Agriculture', 'Biodiversity', 'Global Environment Facility', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Education Information &\n            Communications Technologies', 'Educational Institutions & Facilities', 'Educational Informatics', 'Food Security']","Agric., RD & Irrigt'n Prac 1 (AFTA1)",http://documents.worldbank.org/curated/en/519841468241781902/pdf/538080BRI0En0B10Box345626B01PUBLIC1.pdf
41354,Agricultural advisory services,"This review shows that our knowledge about the benefits and costs of new reform models is current still skimpy. Most models that have been studied combine different reform elements, such as changes in governance structures, changes in the management system and changes in advisory models. However, the existing studies do not make it possible to identify which of those reform elements is effective under which circumstances. Hence, there is clearly a need for more empirical research to find out ""what works where and why."" Notwithstanding the paucity of solid evidence, this review emphasizes the efficiency gains that can come from locally decentralized delivery with incentive structures based increasingly on private provision, much of which will inevitably remain largely publicly funded extension efforts, especially (and properly so) for impoverished regions of developing countries.",2-Jul-07,Working Paper,"['Anderson', 'Jock R.']","['Climate Change and Agriculture', 'Private Sector Economics', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Public Sector Management and Reform', 'Public Sector Administrative & Civil\n            Service Reform', 'Food Security', 'Democratic Government', 'Economics and Finance of Public\n            Institution Development', 'Public Sector Administrative and Civil\n            Service Reform', 'De Facto Governments']",Agriculture & Environmental Serv (AES),http://documents.worldbank.org/curated/en/490981468338348743/pdf/413540Anderson1AdvisoryServices01PUBLIC1.pdf
92806,Restructuring Mozambique's ministry of agriculture,"In the 1990s, Mozambique's government had undertaken a substantial program of macroeconomic and policy reforms. The agricultural sector public expenditure program (PROAGRI) pioneered a sector-wide approach to agricultural development, pooling donor support to underpin a three-phase, 15-year development program with a significant focus on policy and institutional actions. The ministry of agriculture (MINAG) has been strengthened and has moved from a focus on direct interventions to a focus on regulation and facilitation, and from a top-down operational style to a decentralized, client-focused one. Subsequent phases of PROAGRI are expected to continue financing MINAG's essential functions, with government gradually assuming full responsibility for the recurrent costs over the course of a 15- to 20-year period.",13-Jun-07,Brief,[],"['Climate Change and Agriculture', 'Natural Resources Management', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Agricultural Economics', 'Administrative & Civil Service Reform', 'Public Sector Administrative & Civil\n            Service Reform', 'Food Security', 'Natural Resources Management and Rural Issues', 'Democratic Government', 'Public Sector Administrative and Civil\n            Service Reform', 'De Facto Governments']","Urban, Rural & Soc Dev - GP (GSURR)",http://documents.worldbank.org/curated/en/514761468274191976/pdf/9280602007Jun10e0Box0385367B0PUBLIC.pdf
89545,Tunisia - Technical notes on SMEs in Tunisia : Vers un renforcement des centres techniques sectoriels au service de la competitivite des PME Tunisiennes,"The purpose of this paper on technical notes on small and medium enterprises (SME) in Tunisia is to analyze the current system of Sectoral Technical Centers (CTS) in the context of its SME support missions. This work is based on an analysis of numerous studies in recent years on the subject, in-depth interviews with management and staff of CTS and a collection of quantitative information on the centers including data accounting, staffing and staff qualifications and investment needs. It must also be mentioned that it was not carried out to a specific satisfaction survey of SMEs in the context of this study. Indeed, such work conducted recently by various interviews in this study have shown that the main conclusions were still valid in 2006. The first part of this note briefly recalls the structure of Tunisian industry and the framework in which SMEs operate in Tunisia. The second part focuses on the CTS, evaluates their position, role and performance by being based on the many existing works as well as interviews and collection of information made during the preparation of this note. A third part offers a reform plan",14-May-07,Working Paper,[],"['Social Accountability', 'Agricultural Extension', 'E-Business', 'Telecommunications Infrastructure', 'Water Resources Assessment']","Fin, Comp & Innov - GP (GFCDR)",http://documents.worldbank.org/curated/en/644131468173648222/pdf/895450WP0P0764000Foncier0industriel.pdf
89545,Tunisia - Technical notes on SMEs in Tunisia (Vol. 2) : Acces au foncier industriel et gestion des zones industrielles en Tunisie,"The purpose of this paper on technical notes on small and medium enterprises (SME) in Tunisia is to analyze the current system of Sectoral Technical Centers (CTS) in the context of its SME support missions. This work is based on an analysis of numerous studies in recent years on the subject, in-depth interviews with management and staff of CTS and a collection of quantitative information on the centers including data accounting, staffing and staff qualifications and investment needs. It must also be mentioned that it was not carried out to a specific satisfaction survey of SMEs in the context of this study. Indeed, such work conducted recently by various interviews in this study have shown that the main conclusions were still valid in 2006. The first part of this note briefly recalls the structure of Tunisian industry and the framework in which SMEs operate in Tunisia. The second part focuses on the CTS, evaluates their position, role and performance by being based on the many existing works as well as interviews and collection of information made during the preparation of this note. A third part offers a reform plan",14-May-07,Working Paper,[],"['Social Accountability', 'E-Business', 'Telecommunications Infrastructure', 'Water Resources Assessment', 'Agricultural Extension']","Fin, Comp & Innov - GP (GFCDR)",http://documents.worldbank.org/curated/en/644131468173648222/pdf/895450WP0P0764000Foncier0industriel.pdf
92750,Increased cotton production in Uganda : Mayor produccion de algodon en Uganda,"This paper includes the following headings: challenge, approach, results, IDA contribution, partners, and next steps.",20-Apr-07,Brief,[],"['Agricultural Irrigation and Drainage', 'Agricultural Industry', 'Agricultural Extension', 'Agricultural Economics']","Urban, Rural & Soc Dev - GP (GSURR)",http://documents.worldbank.org/curated/en/978511468103780460/pdf/9275002007Apr20n0Box0385367B0PUBLIC.pdf
92750,Increased cotton production in Uganda,"This paper includes the following headings: challenge, approach, results, IDA contribution, partners, and next steps.",20-Apr-07,Brief,[],"['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Pest Management', 'Agricultural Economics', 'Food Security', 'Inequality', 'Environmental Protection']","Urban, Rural & Soc Dev - GP (GSURR)",http://documents.worldbank.org/curated/en/978511468103780460/pdf/9275002007Apr20n0Box0385367B0PUBLIC.pdf
92751,Quality agricultural services for Uganda's farmers,"While the agriculture sector in Uganda has grown steadily by nearly 4 percent for more than 10 years, real agricultural gross domestic product (GDP) has still not achieved the level reached in the 1970s. Uganda's plan for the modernization of agriculture assigns first priority to agriculture extension and research, focusing on achieving greater relevance in both the research and extension programs. This effort is supported by a multi-donor national agricultural advisory services project (NAADS) designed to make poor farmers aware of and equipped to adopt, improved technology and management practices. The project is ongoing, but initial surveys suggest that farmers in those counties covered by the project are adopting technologies that lead to real improvements in yields and farm incomes. A major challenge for NAADS in the future will be expanding its reach beyond areas initially participating in the program. Marketing and post-harvest handling will be increasingly important to sustaining and transforming adoption of technologies into increases in household wealth and income.",20-Apr-07,Brief,[],"['Climate Change and Agriculture', 'Rural Settlements', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Food Security', 'Agricultural Growth and Rural Development']",Agriculture - GP (GFADR),http://documents.worldbank.org/curated/en/670141468302084806/pdf/9275102007Apr205367B0PUBLIC0SPANISH.pdf
92750,Increased cotton production in Uganda,"This paper includes the following headings: challenge, approach, results, IDA contribution, partners, and next steps.",20-Apr-07,Brief,[],"['Agricultural Extension', 'Poverty Reduction Strategies', 'Agricultural Irrigation and Drainage', 'Agricultural Industry', 'Agricultural Growth and Rural Development']","Urban, Rural & Soc Dev - GP (GSURR)",http://documents.worldbank.org/curated/en/978511468103780460/pdf/9275002007Apr20n0Box0385367B0PUBLIC.pdf
92841,"Better crops, higher incomes for farmers in India's Karnataka watershed : Mayores ingresos en la cuenca hidrografica de Karnataka, India","This paper includes the following headings: challenge, approach , results, IDA contribution, partners, and next steps.",15-Mar-07,Brief,[],"['Agricultural Growth and Rural Development', 'Agricultural Extension', 'Agricultural Economics', 'Agricultural Industry', 'Agricultural Irrigation and Drainage']",Agriculture - GP (GFADR),http://documents.worldbank.org/curated/en/780191468035437999/pdf/9284102007Mar10d0Box0385367B0PUBLIC.pdf
92835,Integrated irrigation improvement and management,"In March 2007 the Integrated Irrigation Improvement and Management Project (2006- 2014) represents a continuing commitment of the World Bank to projects that focus on natural resources management, raising rural income, poverty alleviation, and environmental sustainability. The project's development objective is to assist the GOE in achieving a more efficient and sustainable use of its land and water resources by improving the management of irrigation and drainage for all farmers in two command areas in the Nile Delta, and thereby mainstreaming Integrated Water Resources Management principles through: 1) empowering water users in decision making at both the investment and O&M levels for irrigation and drainage infrastructure; 2) financing complementary irrigation and drainage renovations; 3) providing users with technical assistance for improving water productivity; and 4) beginning to move the agenda of integration of planning and development of irrigation and drainage services through better integration of Ministry of Water Resources and Irrigation departments at both the command area and district levels.",12-Mar-07,Brief,[],"['Agricultural Industry', 'Agricultural Extension', 'Agricultural Economics', 'Agricultural Growth and Rural Development']",Water - GP (GWADR),http://documents.worldbank.org/curated/en/382501468273040212/pdf/9283502007Mar100Box0385367B0ARABIC.pdf
39243,Restructuring Uganda's coffee industry : why going back to the basics matters,"Uganda's coffee industry consists of low input-intensity smallholders with an average farm size of 0.2 hectares and is the main source of income for an estimated 500,000 households. Following its introduction earlier in the 20th century, the industry expanded considerably during the 1950s and 1960s. However, the sector experienced a huge setback due to the civil strife of the 1970s, when output halved within a 5-year period (1972-77). During the late 1980s, the sector went through a liberalization process, which, coupled with high world prices, led to considerable supply response, with exports exceeding 4 million bags in two consecutive years (1995 and 1996), the only time in the sector's history. By all accounts, the reforms have been successful. Producers' share of export prices doubled and growers receive payments promptly. Entrepreneurial activity has increased enormously. Most important, there has been a well documented poverty reduction impact on households of the coffee growing regions. There has been no backtracking of reforms.",1-Mar-07,Brief,"['Baffes', 'John']","['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Ports & Waterways', 'Hydrology', 'International Trade and Trade Rules', 'Inequality']",Off. of Regional Vice President (AFRVP),http://documents.worldbank.org/curated/en/765561468111858141/pdf/392430UG0Coffee0find27201PUBLIC1.pdf
40818,Cameroon - the National Agricultural Extension and Research Program Support Project,"The National Agricultural Extension and Research Program Support Project of Cameroon undertook to finance - jointly with the government, IFAD, and AfDB - implementation (2001-2004) of the national agricultural extension policy and agricultural research in Cameroon as follows : competitive research grants (IDA); linkages between agricultural research and extension (IFAD); and on-station agricultural research ( AfDB). While providing services to all farmers, the project sought to prioritize resource-poor farmers, and women farmers. This project was a follow-on intervention to the National Project for Agricultural Extension (PNVA).",1-Dec-06,Brief,[],"['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Livestock and Animal Husbandry', 'Agricultural Research', 'Nutrition', 'HIV AIDS', 'Food Security', 'Cholera', 'Communicable Diseases', 'Leprosy']",Office of the Regional Vice Pres (AFRVP),http://documents.worldbank.org/curated/en/471461468227701841/pdf/408180FRENCH0C1al0infob13101PUBLIC1.pdf
61921,Institutional innovation in agricultural research and extension systems in Latin America and the Caribbean,"Agricultural modernization is a key element in the development strategy of almost all Latin American and Caribbean (LAC) countries. Agriculture in LAC is just too important as an economic sector to be ignored. Primary agriculture employs on average about 20 percent of the population in the region, has significant forward and backward linkages to the rest of the economy (creating jobs in agricultural processing and, to a lesser extent, in agricultural input industries), and generates important export income. Raising agricultural productivity is key in making agriculture more competitive in rapidly liberalizing world markets (due to free trade agreements with the United States and other LAC countries), as well as increasing the incomes of rural populations (many of which are desperately poor). This study aims to review these institutional reform experiences on the basis of a literature review and seven case studies on specific experiences in different LAC countries. The case studies were conducted in Brazil, Chile, Colombia, Ecuador, Mexico, Peru and Venezuela. Some of these countries had World Bank funded agricultural research and extension projects (e.g. Colombia, Venezuela, Ecuador, Peru and Brazil), while the agricultural institutional reform process in all countries was driven by the countries~^!!^ needs and desire for change and improvement in the sector. The study tries to distill lessons from these experiences and provide guidance to key policy makers in national governments, the World Bank and other development partners on potential problems and issues regarding agricultural research and extension services that need to be tackled at the institutional and policy levels. It also attempts to reshape the thinking behind development strategies relating to the agriculture and rural sectors.",1-Jun-06,Working Paper,"['Roseboom', 'Johannes']","['Agricultural Research', 'Agricultural Extension', 'Agriculture and Farming Systems', 'Climate Change and Agriculture', 'Crops and Crop Management Systems', 'Nutrition', 'Agricultural Knowledge and Information Systems', 'Food Security', 'Educational Institutions & Facilities', 'Educational Informatics', 'Education Information &\n            Communications Technologies']","Agric., RD & Irrigt'n Prac 1 (AFTA1)",http://documents.worldbank.org/curated/en/802321468300697976/pdf/Institutional-innovation-in-agricultural-research-and-extension-systems-in-Latin-America-and-the-Caribbean.pdf
WPS3916,The role of opinion leaders in the diffusion of new knowledge : the case of integrated pest management,"The paper reviews the literature on the characteristics and impact of opinion leaders on the diffusion of new knowledge, concluding that there is no clear evidence on whether opinion leaders are more effective if they are similar in socioeconomic attributes to the other farmers rather than superior to would be followers. A multivariate analysis of the changes in integrated pest management knowledge in Indonesia among follower farmers over the period 1991-98 indicates that opinion leaders who are superior to followers, but not excessively so, are more effective in transmitting knowledge. Excessive socioeconomic distance is shown to reduce the effectiveness of diffusion. The paper then derives operational implications of the empirical results.",1-May-06,Policy Research Working Paper,"['Feder', 'Gershon', 'Savastano', 'Sara']","['Climate Change and Agriculture', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Pest Management', 'Educational Sciences', 'Environmental Protection']",Development Research Group (DECRG),http://documents.worldbank.org/curated/en/309661468048908557/pdf/wps3916.pdf
